Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.200001512178053,0.241852211356269,-0.0225098451215039,0,0,0,1.62971419738771,0.0827115360073378,9.73763421212959E-07,-9.00633062514957E-08,0.0362273244859443,0.000299055764514098,0.111939320851762,0,0,0,0,0,0,package://ROS BOT v8/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/base_link.STL,,Complete Assembly-1/Body Assembly-1/Main Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_wheelR_link,0.43092,5.7902E-08,2.2629E-07,0,0,0,1.5702,0.01072,3.7954E-08,6.247E-09,0.0056085,-1.4266E-08,0.0056083,0,0,0,0,0,0,package://ROS BOT v8/meshes/front_wheelR_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/front_wheelR_link.STL,,Complete Assembly-1/Wheel 03-1,Origin_front_wheelR_joint,,front_wheelR_joint,revolute,0,0,0.5,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
front_wheelL_link,0.430921320844651,5.79020018598442E-08,2.26289091623892E-07,0,0,0,1.57018655061563,0.0107199439893528,3.79535822746064E-08,6.24698917361356E-09,0.00560851970839014,-1.42662595837644E-08,0.00560831004132884,0,0,0,0,0,0,package://ROS BOT v8/meshes/front_wheelL_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/front_wheelL_link.STL,,Complete Assembly-1/Wheel 04-1,Origin_front_wheelL_joint,,front_wheelL_joint,revolute,0.4,0,0.5,1.5708,0,-3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
back_wheelR_link,0.430921320886506,5.79020216028264E-08,2.2513866549201E-07,0,0,0,1.57018656673181,0.0107199441880378,3.79702776290324E-08,6.25435598561781E-09,0.00560851992090271,-1.42662598964045E-08,0.00560831005920041,0,0,0,0,0,0,package://ROS BOT v8/meshes/back_wheelR_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/back_wheelR_link.STL,,Complete Assembly-1/Wheel 01-1,Origin_back_wheelR_joint,,back_wheelR_joint,revolute,0,0,0,1.228,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
back_wheelL_link,0.430921320844651,5.7902019392184E-08,2.26289091397043E-07,0,0,0,1.57018655061564,0.0107199439893528,3.79535822722803E-08,6.24698917663655E-09,0.00560851970839018,-1.42662596040544E-08,0.00560831004132886,0,0,0,0,0,0,package://ROS BOT v8/meshes/back_wheelL_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/back_wheelL_link.STL,,Complete Assembly-1/Wheel 02-1,Origin_back_wheelL_joint,,back_wheelL_joint,revolute,0.4,0,0,-1.5708,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
platform_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://ROS BOT v8/meshes/platform_link.STL,1,1,1,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/platform_link.STL,,Complete Assembly-1/Mount-1,Origin_platform_joint,,platform_joint,fixed,0,-0.02,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,-1.44311769415262E-05,-3.95733034478929E-05,0.225986579401347,0,0,0,0.0626087319921524,1.73287909876757E-05,1.11976874535981E-06,-2.85418842077003E-10,1.85076730925539E-05,-8.49249735471805E-10,3.10067655835034E-05,0,0,0,0,0,0,package://ROS BOT v8/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/lidar_link.STL,,Complete Assembly-1/Lidar-1/Component18-1,Origin_lidar_joint,,lidar_joint,fixed,0.2,0.451,-0.085,0,0,3.1416,platform_link,0,0,0,,,,,,,,,,,,
robot_arm_base_link,-0.032307829842947,-0.0782281348686356,0.198084927755953,0,0,0,0.647775516079259,0.00123935539869003,1.10931426285115E-08,-6.46709576300254E-09,0.00108876898407285,1.24433249926633E-05,0.00059753096939592,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_base_link.STL,,Complete Assembly-1/Robot arm v3-1/Base-1,Origin_robot_arm_base_joint,,robot_arm_base_joint,fixed,0.12246,0.28231,-0.05,0,0,1.5708,platform_link,0,0,0,,,,,,,,,,,,
robot_arm_link1,-0.152990690369013,-0.130949758510278,0.230331223634345,0,0,0,0.573239091567049,0.000341763950181962,0.000527229762397376,-1.00040919870657E-08,0.0106532118617114,1.34984900371454E-09,0.0106789128711268,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_link1.STL,,Complete Assembly-1/Robot arm v3-1/Arm 1-1,Origin_robot_arm_link1_joint,,robot_arm_link1_joint,revolute,-0.2331,0,0.10564,0,0.851,0,robot_arm_base_link,0,0,0,0,0,0,0,,,,,,,,
robot_arm_link2,-1.10280193052099,-0.05999538346491,-0.518612577309713,0,0,0,0.599895947397101,0.000502604552655828,-0.000606376669837302,2.01562179111823E-07,0.00742460590373101,2.59824548473619E-08,0.00763699028242569,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ROS BOT v8/meshes/robot_arm_link2.STL,,Complete Assembly-1/Robot arm v3-1/Arm 2-1,Origin_robot_arm_link2_joint,,robot_arm_link2_joint,revolute,-0.81392,0,1.4339,-0.17027,-1.5708,0.1713,robot_arm_link1,0,0,0,0,0,0,0,,,,,,,,
